image_id,original_caption,BLIP_caption,BLIP-Large_caption,GIT_caption,VIT-GPT2_caption,voted_adjectives
image_0,A coral-hued bicycle rests half-buried in golden sand under the shade of a twisted obsidian tree.,a bike parked under a tree in the desert,there is a bike that is parked next to a tree,a large tree with red leaves,a person on a bike leaning over a tree ,[]
image_1,"A patchwork kite flutters gently across an amber sky, tethered to a towering, emerald-green windmill.",a windmill in a green field with yellow flowers,a painting of a windmill in a field with yellow flowers,windmill in the wind stained glass,a painting of a green field with a plant and a clock ,"['green', 'yellow']"
image_2,"A polished brass coffee mug sits forgotten on a floating mahogany plank above still, violet water.",a cup of coffee,there is a cup of coffee on a table by the water,a golden coffee cup and saucer,a cup of coffee sitting on top of a wooden table ,[]
image_3,A sapphire-hued bird with crystalline wings hovers silently over a bed of golden roses.,a blue bird sitting on a branch of roses,a close up of a bird sitting on a branch with yellow roses,a bird in a gold flower field,a blue bird sitting on a blue vase with flowers ,['blue']
image_4,A weathered wooden violin lies among silver leaves in a dew-drenched forest glade.,a violin on the ground in the woods,violin sitting on the ground in the woods with leaves,the leaves are on the ground,a small black and white guitar sitting on a tree ,[]
image_5,"A soft lavender pillow floats midair in a sun-dappled bedroom, surrounded by swirling silver feathers.",a purple bedroom with a white bed and purple walls,a close up of a bed with a purple comforter and pillows,bedroom with a purple theme,a bed with a white comforter and a white pillow ,"['purple', 'white']"
image_6,A pale blue rabbit peers cautiously out of a glowing moss-covered burrow.,a rabbit in the woods,painting of a blue rabbit in a hole in the grass,painting of a rabbit in a hollow,a stuffed animal with a flower in its mouth ,[]
image_7,A shimmering black staircase ascends through clouds tinted with streaks of orange and teal.,a stairway leading to a sky with clouds,a painting of a stairway leading to a sky with clouds,digital art selected for the #,a row of wooden railings with water ,[]
image_8,A set of marbled white chess pieces scattered across a glassy shoreline lit by a blood-red sunset.,a chess game with the sun setting behind it,chess pieces are lined up on a reflective surface at sunset,painting of a chess game,people standing on top of a beach ,[]
image_9,A glowing crimson lighthouse stands resolute amidst roaring sapphire waves under a stormy indigo sky.,a painting of a lighthouse in the ocean,painting of a lighthouse on a rocky shore with a stormy sky,painting of a lighthouse in the ocean,a lighthouse with a blue sky and a blue sky background ,['blue']
image_10,"A school of luminous goldfish glides through a library of floating, emerald-colored books.",a goldfish in a library with many books,there are many goldfishs in the library and many bookshelves,goldfish in a library,a painting of a bird on a building ,['many']
image_11,An intricately carved silver mirror reflects nothing but a swirling violet mist.,a mirror with a floral design on it,there is a mirror that is on a purple wall,mirror on the wall,a decorative vase with a flower on it ,[]
image_12,A caramel-brown backpack leans gently against a glowing tree trunk in an iridescent jungle.,a backpack sitting on top of a tree in the middle of a forest,there is a backpack sitting on a tree trunk in the jungle,the bag is orange,a small brown suitcase sitting on top of a tree ,[]
image_13,A golden pineapple with spiked turquoise leaves rests proudly atop a silver platter.,a gold pineapple on a plate with a blue and gold leaf,there is a gold pineapple on a silver tray with a blue leaf,a blue pineapple on a silver platter,a flower arrangement on a plate with a flower on a table ,"['gold', 'blue', 'silver']"
image_14,A swirling vortex of neon-colored butterflies hovers above a field of dusky violet grass.,seamless butterflies on purple background,butterflies on purple background with yellow and blue wings,butterflies on a purple background.,a series of colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful,"['purple', 'colorful']"
image_15,A crumbling brick castle sits in the middle of a calm lake reflecting the silver-tinted morning sky.,a castle with a reflection in the water,arafed castle sitting on a lake with a sky background,the castle is brown,a large building with a clock on it ,[]
image_16,A collection of glistening ruby buttons scatters across a weathered blue workbench.,red buttons and buttons on a blue table,arafed red buttons and a jar of blue beads on a table,a blue wooden table,a table with a bunch of different colored vases ,"['red', 'blue']"
image_17,"A pale green fox lounges on a tangerine rock beneath a silver, glowing crescent moon.",a fox sitting on a rock with oranges,there is a fox sitting on a rock with oranges in front of it,fox sitting on a rock,a cat sitting on a cake with a cartoon character ,[]
image_18,A giant porcelain teapot sits precariously atop an uneven tower of glowing amethyst stones.,a white teapot with purple crystals on top,purple crystals in a teapot on a stand with a purple background,a teapot with purple crystals,a cake with a flower on top of it ,['purple']
image_19,A translucent silver ladder extends from the forest floor to a swirling crimson-and-indigo sky.,a ladder leading to a red forest with a full moon in the sky,painting of a ladder leading to a bright red spiral in a forest,the ladder in the forest,a staircase with a red and white curtain ,['red']
image_20,"A luscious green meadow with tiny, whimsical elves dancing beneath a warm sunset sky.",a cartoon scene with a forest and flowers,illustration of a fairy land with a lot of flowers and a fairy flying,the pink clouds above the hills,a painting of a colorful jungle with a bunch of flowers ,[]
