image_id,original_caption,generated_caption,adjectives,hallucinated
image_0,A coral-hued bicycle rests half-buried in golden sand under the shade of a twisted obsidian tree.,a large tree with red leaves,"['large', 'red']","[False, False]"
image_1,"A patchwork kite flutters gently across an amber sky, tethered to a towering, emerald-green windmill.",windmill in the wind stained glass,[],[]
image_2,"A polished brass coffee mug sits forgotten on a floating mahogany plank above still, violet water.",a golden coffee cup and saucer,['golden'],[False]
image_3,A sapphire-hued bird with crystalline wings hovers silently over a bed of golden roses.,a bird in a gold flower field,['gold'],[False]
image_4,A weathered wooden violin lies among silver leaves in a dew-drenched forest glade.,the leaves are on the ground,[],[]
image_5,"A soft lavender pillow floats midair in a sun-dappled bedroom, surrounded by swirling silver feathers.",bedroom with a purple theme,['purple'],[False]
image_6,A pale blue rabbit peers cautiously out of a glowing moss-covered burrow.,painting of a rabbit in a hollow,['hollow'],[True]
image_7,A shimmering black staircase ascends through clouds tinted with streaks of orange and teal.,digital art selected for the #,['digital'],[True]
image_8,A set of marbled white chess pieces scattered across a glassy shoreline lit by a blood-red sunset.,painting of a chess game,[],[]
image_9,A glowing crimson lighthouse stands resolute amidst roaring sapphire waves under a stormy indigo sky.,painting of a lighthouse in the ocean,[],[]
image_10,"A school of luminous goldfish glides through a library of floating, emerald-colored books.",goldfish in a library,[],[]
image_11,An intricately carved silver mirror reflects nothing but a swirling violet mist.,mirror on the wall,[],[]
image_12,A caramel-brown backpack leans gently against a glowing tree trunk in an iridescent jungle.,the bag is orange,['orange'],[False]
image_13,A golden pineapple with spiked turquoise leaves rests proudly atop a silver platter.,a blue pineapple on a silver platter,"['blue', 'silver']","[False, False]"
image_14,A swirling vortex of neon-colored butterflies hovers above a field of dusky violet grass.,butterflies on a purple background.,['purple'],[False]
image_15,A crumbling brick castle sits in the middle of a calm lake reflecting the silver-tinted morning sky.,the castle is brown,['brown'],[False]
image_16,A collection of glistening ruby buttons scatters across a weathered blue workbench.,a blue wooden table,"['blue', 'wooden']","[False, False]"
image_17,"A pale green fox lounges on a tangerine rock beneath a silver, glowing crescent moon.",fox sitting on a rock,[],[]
image_18,A giant porcelain teapot sits precariously atop an uneven tower of glowing amethyst stones.,a teapot with purple crystals,['purple'],[False]
image_19,A translucent silver ladder extends from the forest floor to a swirling crimson-and-indigo sky.,the ladder in the forest,[],[]
image_20,"A luscious green meadow with tiny, whimsical elves dancing beneath a warm sunset sky.",the pink clouds above the hills,['pink'],[False]
image_21,A sleek silver smartphone lying on a rough wooden table beside a half-empty porcelain mug.,white coffee cup on wooden table,['wooden'],[False]
image_22,A robust purple donkey wearing a tiny pink bonnet in a dusty barn.,a donkey in a barn,[],[]
image_23,A cluster of vibrant orange t-shirts fluttering on a shaky clothesline under a bright morning sun.,orange shirt hanging on a clothes line,[],[]
image_24,An elegant glass vase holding enormous scarlet roses on a pristine windowsill gleaming with sunlight.,clear glass vase with roses,['clear'],[False]
image_25,A glossy black piano standing tall in a dimly lit concert hall surrounded by polished wooden chairs.,a piano on the stage,[],[]
image_26,A gigantic cobalt whale swimming gracefully beneath shimmering teal waves in a silent ocean.,whale in the sea illustration,[],[]
image_27,A plump yellow capybara munching juicy green leaves beside a tranquil riverbank.,cartoon illustration of a rodent,[],[]
image_28,A delicate porcelain teacup resting atop a soft lace doily in a sunlit parlor.,a cup and saucer on a table,[],[]
image_29,A rowdy group of crimson-feathered birds soaring over an expansive sandy desert.,a group of red birds,['red'],[False]
image_30,"A lean, spotted cheetah perched atop a jagged gray rock in a quiet savannah.",a large gray rock,"['large', 'gray']","[False, False]"
image_31,A cozy wooden classroom filled with colorful chalk drawings and giggling children.,a painting of a classroom,[],[]
image_32,"A tall basket of ripe, sapphire-hued berries resting beside a trickling forest stream.",a stream running through a forest,[],[]
image_33,A timid brown hare sniffing around a mossy hollow log beneath a twilight sky.,the rabbit is brown,['brown'],[False]
image_34,A radiant emerald coffee mug steaming gently on a tidy oak desk.,a cup of coffee,[],[]
image_35,A swift aqua dragonfly hovering just above dewy emerald ferns in a shaded grove.,dragonfly in the ferns,[],[]
image_36,A chunky red watermelon split open on a rough stone slab beneath leafy branches.,a slice of watermelon,[],[]
image_37,A tiny azure butterfly perched lightly on a broad green lily pad in a misty pond.,a butterfly in the water,[],[]
image_38,A polished copper doorknob glinting under a warm amber hallway light.,the door knob is a classic design,['classic'],[False]
image_39,A narrow wooden footbridge arching over a gentle turquoise stream in a silent glade.,the bridge is made of wood,[],[]
