ground_truth_caption,generated_caption,generated_adjs,adj_exist_in_gt?,hallucinated
A fighter jet in a combat scene with a missile flying by.,a wolf and a moose,[],[],[]
A young boy is riding his bike through a neighborhood that is being built.,an air show,[],[],[]
"A group of people at the beach, with some of them wearing swimwear.",a boy riding a bike in a neighborhood,[],[],[]
A woman with a red hair and freckles poses in front of a brick wall.,old keys,['old'],['no'],[True]
a woman with a shovel and a broom in her hands is cleaning the pavement.,a group of people on the beach,[],[],[]
A well-stocked pantry and cellar are standing open.,a woman with red hair,['red'],['no'],[True]
"A large boulder with a sign that says, “Lava Danger Zone.”",a woman cleaning the street,[],[],[]
A skeleton with an hourglass in his hands.,a kitchen pantry,[],[],[]
A group of lions standing in front of a waterhole.,a volcano,[],[],[]
A couple of young boys are playing in a small creek.,a skeleton holding a hour hour hour hour hour hour hour hour hour hour hour hour,[],[],[]
A 25-image composite of canines is organized into a square grid.,three lions at a water hole,[],[],[]
A couple of gondolas are rowing through a canal in Venice.,two children playing in a stream,[],[],[]
"A man in a wetsuit and snorkel mask, diving.",a group of dogs,[],[],[]
a pile of freshly shelled peanuts.,"a canal in venice, italy",[],[],[]
A large green bottle of shampoo is being held.,a scuba diver,[],[],[]
"A picture of a man, a boy and a girl sitting at a table and looking at a photo album.",almonds,[],[],[]
A boy is watching a movie in a cinema hall.,green skin care products on a pink background,"['green', 'pink']","['no', 'no']","[True, True]"
A stairway is leading to a secret door.,a family reading a book,[],[],[]
a group of scientists examining a glowing green meteorite.,a movie theater,[],[],[]
A man in a pinstripe suit is surrounded by women.,a staircase in a home,[],[],[]
